附件1：,,涉枪涉爆等违法关键词,
（详见“互联网违法信息巡查处置系统”）,,,
类别,动词,名词,专属词语
涉枪,联系,fx气皇,pcp气枪打猎论坛
,推荐,gamo竞技之王,秃鹰网
,满意付款,秃鹰膛线管,打鸟枪网
,专卖,秃鹰狗,台秃网
,货到付款,工字牌QB19,猎狗网
,卖,秃鹰汽长狗,大漠狩猎
,制作,仿真长狗,气枪军品网
,改装,短狗,槽化枪管网
,改进,特级运动长弹,镀镍狗粮
,现货,花山N306,军火酷论坛
,出售,M4A1,内脏套件
,销售,柯尔特1911,灭火器改枪
,转让,狗配件,淘宝秃鹰全套配件
,直销,大口径PCP,国产秃鹰第一官方
,订购,瓦尔特统治者,中国汽枪打猎论坛
,热卖,L新型火箭,秃鹰燕尾套件
,定购,金钟汽枪,4.5狗粮模具
,见面交易,金钟气狗,弩枪网
,售,秃鹰图纸,秃鹰打气筒
,制造,瑞典fx,汽枪官网
,自制,猎枪弹,5.5狗粮模具
,加工,秃鹰配件,红王蓝商城
,提供,西德ks316,军品气枪店
,批发,654K气枪,中华猎坛网
,组装,92式手狗,中国猎人网
,供应,77式手狗,猎友之家狩猎论坛
,担保交易,77式手枪,中华打猎网
,精选,654k手枪,五狐狩猎
,抢购,45MM铅弹,快乐猎人论坛
,试货付款,45MM狗粮,枪友网
,送货上门,三角牌气枪,气抢网
,付款,汽手狗,电狗专卖网
,买,54式手枪,亚洲狩猎论坛
,求购,手拉狙,逆战户外官网
,订货,柯尔特m1911,秃子组装
,当面交易,海豹M9,枪械网站
,预订,进口气狗,手狗专卖网
,到付,运动枪,手狗论坛官网
,免定金,韩国叛逆者,真抢械网
,……,……,……
涉爆,批发,土制炸弹,红烧兔子大餐
,销售,土制手榴弹,无政府主义者食谱
,货到付款,土制手雷,莫洛托夫鸡尾酒
,见面交易,起爆药,土炸弹制作流程
,自制,塑胶炸药,火药配方大全
,加工,自制炸药,DIY原子弹教程
,出售,C4橡胶炸药,土炸药配方
,供应,土制火药,液体炸药比例
,提供,土制燃烧弹,液体炸药配方
,转让,黑火药,炸弹DIY
,专卖,硝铵炸药,
,交换,迫击炮弹,
,订购,炸弹,
,制作,雷管,
,制造,燃烧瓶,
,DIY,塑料炸弹,
,合成,PETN,
,……,……,
管制刀具,订购,尼泊尔刀,米尔军刀网
,供应,尼泊尔狗腿刀,世界名刀网
,热销,斩马刀,精品刀剑网
,专卖,三棱刀,名刃世家
,售,博伊刀,卖刀网
,买卖,廓尔喀刀,冷锋刀铺
,自制,蜘蛛刀,蝴蝶刀网
,专供,直刀,不凡军品网
,定做,苗刀,百兵坊
,出售,蝴蝶甩刀,中国刀网
,批发,卡巴刀,百兵行刀具网
,提供,勃郎宁刀,刀迷汇
,转让,匕首,董姐刀剑网
,卖,三棱刮刀,先锋君品网
,销售,跳刀,巨富名刀网
,直销,军品刺刀,刀兵坊
,购买,d80军刺,折刀网
,銷售,战术刀具,中国名刀网
,代购,战术军刀,好刀网
,……,……,……
弩,包邮,麻醉弩箭,中国传统猎法狩猎论坛
,批发,精品弓弩,中国弩弓网
,自制,弩弓制作图纸,森林之虎
,供应,黑森林弓弩,大黑鹰
,热销,三健弓弩,三利达
,专卖,弓弩麻醉箭,弓驽专卖网
,提供,森林之鹰,风云打猎论坛
,卖,小飞狼,弓弩狩猎网
,订购,森林之狼,弓弩官网
,直销,气枪弩,驽专卖网
,购买,军用弩箭,驽弓专买网
,制作,猎豹弓弩,弩弓官网
,买卖,弩枪,三利达官网
,出售,十字弩,八方狩猎论坛
,转让,钢弩,弓弩网
,销售,狩猎弩,弓弩专卖网
,售,警用弩,八方狩猎论坛
,定做,大黑鹰弓弩,打猎论坛
,专供,黑曼巴弩,弩弓网
,……,……,……
毒品,货到付款,k粉,黄牙签
,购买,去甲麻黄碱,冰妹陪玩
,供应,季戊四醇,氯胺酮制作方法
,批发,麻古制作技术,weed燃料
,销售,甲基苯丙胺合成方法,麻果壶
,直销,氯胺酮制作配方,weed种植
,售,k粉制作方法,飞草
,买卖,FM2,麻古壶
,提供,k粉制作技术,森西大芽
,出售,麻古制作方法,钻石冰
,订购,丁丙诺啡,朝鲜冰
,卖,氟硝安定,黄冰
,专卖,安纳咖,飞叶子
,直供,摇头丸,纯缅麻古
,提炼,天然可卡因,咕噜壶
,求购,去氧麻黄素,溜冰壶
,……,……,……
剧毒化学品,销售,黄曲霉素,
,供应,氯化银钾,
,提供,安乐死药物,
,出售,敌恶磷,
,订购,敌杀磷,
,售,氯硫酸,
,买卖,甲烷磺酰氯,
,专卖,四氯硫代碳酰,
,批发,甲基磺酰氟,
,直销,氯气,
,卖,三氯硫氯甲烷,
,零售,光气,
,贩卖,氯化硫酰甲烷,
,购买,过氯甲硫醇,
,配方,氯化硫酸,
,转让,液氯,
,制作,氟醋酸钠,
,……,……,
